axial_cluster_id,axial_cluster_label,meta_cluster_id,meta_cluster_label,n_segments,n_reviews,n_papers,mean_review_score,acceptance_rate,top_canonical_codes,representative_segment_hashes,representative_snippet
-1,other,-1,Other,16144,14608,8889,5.292716319824754,0.3727078411519856,Lack of clarity and detail in methodology (4388); Insufficient ablation studies (67); Few-shot learning detail (54); Innovative framework for continual learning (52); Effective data augmentation approach (27); Innovative self-supervised learning approach (26); transformer-advantages (22); domain-adaptation-insight (22); offline-data-utilization (22); Novel perspective on GANs (20),2fba5e324224bad36489649f080bb713d3ec9707b461f6fedd0b7f2376a01948; dfdebf97c0363ed414b05cc3eb19e10f951dcd932f6de7616e6691196239efb5; 708ca749a8240e1e0e60acffc565fc96fa65258962875a0e024d2d9d359c66b8; e1888c662d1ca8cb8daa1c25b38a59f41a126345c3d6fc0b0d5fd1268126447a; bb9b22c2dd9fc27e5eb6495a4d1cd0246c043ebc26d26f2d23fbd1f364c35474,
462,Lack of clarity and detail in methodology / Unclear GNN types,12,Lack of clarity and detail in methodology / Unclear GNN types,583,551,423,5.0508166969147,0.3333333333333333,Lack of clarity and detail in methodology (186); Unclear GNN types (24); Innovative approach to dynamic graphs (8); Elaboration on GNN expressivity (5); Innovative graph neural network architecture (3); Novel topology design and comprehensive experiments (2); graph classification experiments (2); Novel graph convolution approach with strong experimental validation (2); Innovative bipartite graph convolution approach (2); Innovative GNN computation speedup through HAGs (2),8eaeed32cdd93e3defa38aa54d3ca6d9e7c93946ef9e809d1d852eaed2c385e7; fda794f7404464510639401de92160c0b3e683a7b1e72d80f1f223a75233066f; eea717ee277b5982a65589ae015ee81d60485851a4123366996d6c371ab12501; 7dbf208841931014f0589ae95d05b04662916479be869815f513d3a365fae402; e37bda8d17de8aa93aeafc936b1def825eaa5a9bff79bddd5a345a1d7f0c3f29,
384,Lack of clarity and detail in methodology / Novel diffusion use,13,Lack of clarity and detail in methodology / Insufficient ablation studies,423,375,280,5.752,0.5178571428571429,Lack of clarity and detail in methodology (147); Novel diffusion use (16); Utilization of diffusion models for denoising (4); Novel approach to improve sampling speed in diffusion models (3); Innovative diffusion process and sampling method (2); diffusion-generative-method (2); diffusion-benchmarks (2); discrete-diffusion-drawbacks (1); novel-diffusion-gnns-physicsml (1); StrongPerformance (1),a53a5b6993c7a742f2221dd5c42d5d2151141262093be5da12de5f9866813fbd; da67f3972bd9120d0e85a9defaf5d0a0fa383f0b1d751ed219cb58e0866f8c05; c26aedb429fcccc2a3de2adf932a9eb1f42f92a4f86c3748b724eae28a0f3068; 008081852531e3f06fa7cf7f13aabf30e043490bba657f852b493e0c74c1fc23; 8b9f14e811b68508304ae762fe121b83e6977112ed1433a093e7356ff9c34524,
405,Lack of clarity and detail in methodology / Innovative framework for continual learning,8,Lack of clarity and detail in methodology / Innovative framework for continual learning,264,247,185,5.178137651821863,0.2918918918918919,Lack of clarity and detail in methodology (77); Innovative framework for continual learning (63); Novel convergence analysis of FedAvg under non-iid data and inactive devices (2); privacy concerns (2); novel problem addressing dataset distillation (2); Inefficient communication and updates (1); Lack of originality and depth in analysis; privacy concerns; outdated comparison methods. (1); Insufficient ablation studies (1); Timely insights and improved MGDA understanding (1); Grammar issues and presentation concerns (1),ee386c1312cade051b21bfd3f709aefbdb64421e91d7cebc77cf0e632abf4e2c; c5007e19b3e54bf629760267d1e69cb2e401303a41aa8bd8b8a6e9b48ff6ff45; 22e771ac6a40c5c4734334445b8f3661a28c7d46da103dd69bae63e0e7796443; 6579420d83ef37bfc2e4667cb9dede5438f33a245138053c49e1f962fffd18ad; bf7c81e6aaa607ee71f796d4c4e20ea2e169bb0b0ec43bea43c3947d6f241ba8,
432,Lack of clarity and detail in methodology / Novel perspective on GANs,13,Lack of clarity and detail in methodology / Insufficient ablation studies,244,239,177,5.02092050209205,0.3333333333333333,Lack of clarity and detail in methodology (59); Novel perspective on GANs (43); Thorough empirical evaluation of WGAN variants (3); Modification to GAN formulation to prevent mode collapse (2); generative model (2); Insufficient ablation studies (2); Improved GAN evaluation using self-supervised embeddings (2); Bayesian inference framework with GAN integration (2); Effective transfer learning method for GANs (2); Interesting evaluation of StyleGAN3 with solid experiments (2),729f32674b9a164cc43627d0a352f91d4d4194bac1425b2b183e0c2fd6d52179; 30bf3ed2eee846ba06ca6155b51e7a6a4aa5bbab142b740e7280af5a72a08daf; 0e832c9262e55011d526046882858579ae1390299adbe7577aad2ef9c555e59e; b9b6bcfb0029d36b7c303cd6014047a406acb54f85d50385fe9a62d43faa5f9d; bd8739bc6cde7df8b0ef131d4b8f7e35dc2f50b7ee303b99d3866421d17931f9,
385,Lack of clarity and detail in methodology / Novel diffusion use,13,Lack of clarity and detail in methodology / Insufficient ablation studies,209,181,141,5.856353591160221,0.5815602836879432,"Lack of clarity and detail in methodology (66); Innovative cross-domain model with strong performance (1); unidirectional-flow-savings (1); FLOPs-Quality trade-offs or Activation analysis (1); PreciseObjectGeneration (1); MultimodalControlFramework (1); layout bounding boxes; reference net; attention (1); Competitive Generative Performance (1); unclear-explanations, limited-novelty, complex-framework, missing-re (1); tuning-free method (1)",e0b8549e565d53f872867fa47e426ca34aa83348f5af5229892f242b92eb1c9e; 774575233cb709a3de686819097032597c30daffc22c0f29b7e8979736ae5c38; aa32361db7f81bbd9050fed40101554474eb17ff54c7dbe561c57f25aa49238b; 54239e916faf991af88d1f51397e508c411940e00ede3ee5b3deb125ba3f6a12; d53582ad079d396c8926ffc73781f1037c9dc6d5cf878605f1195b7cca732a92,
393,Lack of clarity and detail in methodology / Novel quantization method with minimal accuracy loss,4,Lack of clarity and detail in methodology / transformer-advantages,172,152,94,5.309210526315789,0.3723404255319149,"Lack of clarity and detail in methodology (44); Novel quantization method with minimal accuracy loss (40); Effective PTQ method with theoretical support (2); MultipleQuantizationEnsemble (1); task-aware quantization (1); NovelTokenQuantization (1); FusionForQuantizationDecompposition (1); agnostic-algorithm, theoretical-results (1); Discrepancy-theory-optimizing-rounding (1); InnovativeApproach-DiscrepancyTheory (1)",b58c8b08daf0c1b4a84f74daadaaa3fb376e60461eada303f88ac45b6a68eddb; 4cdf7beaeb91f711304120e43ea3db0f26496e94bdfadb3221a2895ea5df92b0; c880a6cda14ae56d6213ee83d0af1b99fcebaff4b393d0a56173c1f21aa5459e; d04f637a9d30ebc2eacdec0b1ecc4cd5b5929a1de2234509325354b980dc57c0; da8954f4df0f98531f194940d6df4d5dcda1c04bc8758f9b4b38d116809a3306,
273,Lack of clarity and detail in methodology / Effective data augmentation approach,4,Lack of clarity and detail in methodology / transformer-advantages,152,136,92,5.036764705882353,0.4239130434782608,Lack of clarity and detail in methodology (41); Impressive molecular optimization results (2); Novel approach for generating diverse molecules with disentangled properties (1); High technical rigor and clarity in molecular discovery research (1); egnnencoderdecodercomparison (1); broad_impact (1); EfficientFineTuning LargeFM-Adapters (1); Innovative use of pretrained LLMs for drug editing (1); Innovative use of large language models in drug editing (1); Obvious key idea and unimpressive results (1),bbe16fc0b03454c0f9af41f7178bec48e62acd32adfd2f0f53788f14c08e841e; 075d908d6eb1a2e5b346b73706654f169816d1840a70ff74d37342134a57f367; 60f9e3ff5129ea76ecf600c61e858f404b0424583796e1c2cb4fb9c4eec4de26; 8af1decb39b93d66964c998b422fc91cf234ec7ec271eb05d0b6e713f0f160d5; 5007d4a1633528337a6de828b7df47b66374e9f6d4ed71fe958eda91ab699dca,
626,Lack of clarity and detail in methodology / Insufficient ablation studies,13,Lack of clarity and detail in methodology / Insufficient ablation studies,150,149,146,5.644295302013423,0.5136986301369864,"Lack of clarity and detail in methodology (74); Insufficient ablation studies (23); NovelMethod (2); innovative_contribution, as it succinctly captures the (1); thoroughexpanalysis (1); Experiment opacity (1); outdated-approaches-insufficient-experiments (1); inconsistent-naming (1); unified framework (1); controlled-experiments-mult-datasets (1)",5e79269938ee04f1ae2cd0d80ee418a028f8e25b011ce2fcfdc982dd3a9ae6b3; 3a259a4a58d0a0c6d89e5f1861562069812bf8065887f5149c1bead434e1fa9b; 3551238e4ade19290c2195b18e1171c728a39b993974a76846b0f077a7d17e1e; 873312788cf378117b38d3675a9f4d0857702c46d3f14b4ddae5f3e915bf2a4a; 460916a3bc0f8d4309bceae38f6ba7e3f85c88be809d45ad0d42e8775202e1f4,
409,Lack of clarity and detail in methodology / Novel approach to disentangled representations,13,Lack of clarity and detail in methodology / Insufficient ablation studies,149,145,107,5.23448275862069,0.3738317757009345,Lack of clarity and detail in methodology (34); Novel approach to disentangled representations (17); DisentanglementEvaluation (9); Novel metric for disentanglement quality (3); Innovative regularization methods for disentanglement (1); domain-generalizability (1); Lack of justification for topological constraints and prior work (1); Innovative topological regularization term with proven effectiveness (1); novel framework for disentangled equivariance (1); Incorporation of global force field in model design (1),197f224fa157335a63be6284bdf7f305784dd50efaa53bc31bbd36471981abc0; f42974f3996416990033089fe626a576f0507b4cf8ac8ae2625a05ace67d5008; 0eb57e1329f3c72fb675c02e06b60374fbe8d77a97c6f6615089b915b9de56a6; fe456edd461242d99963c800ed8086690e483cbea66434b0c03e3eac4431b099; 83f7e22213b2cffc69813da4ab17f69830d3ea7cbd24f8d21e9c6f0d0638eadc,
