year,venue,paper_id,review_id,segment_id,segment_type,segment_hash,paper_decision,review_score,review_confidence,raw_open_code,canonical_code,canonical_code_id,split,source_available_from,code_model,moderator_model
2021,ICLR.cc,crAi7c41xTh,ICLR.cc/2021/Conference/Paper1062/AnonReviewer3,seg_745121b1ab96a4ed,full_review,0035eae0bf706e032267ac38d3af7b1c2b13017c292e87b2810439e3f6eb9758,Reject,6.0,,Effective analysis of SGD under label noise,Effective analysis of SGD under label noise,CC004792,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,fCG75wd39ze,ICLR.cc/2022/Conference/Paper2613/Reviewer_GYq6,seg_5412a85944e33a00,full_review,5d272c19a38119e59fd2ba1729c21a7bd960aadb010b84de12756d83ccd42c28,Accept (Poster),8.0,,Novel methodology with strong empirical results,Novel methodology and strong empirical results,CC020943,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,sNFLN3itAd,ICLR.cc/2024/Conference/Submission4318/Reviewer_tCCB,seg_fa838883edc54376,weakness,bcc0333537ae67d0731776295cfdf437e081b55f3cce42e27987b979727801c6,Accept (poster),8.0,,Notation clarity issues,Poor notation clarity,CC022143,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,rkeuAhVKvB,ICLR.cc/2020/Conference/Paper271/AnonReviewer3,seg_5b320cf0819023cd,full_review,3b35faf2171fdafb37af6977ef9e7c7267fcb98e989de22f62770d97e2b729ea,Accept (Poster),6.0,,Innovative GNN architecture with improved efficiency and interpretability,Innovative approach to GNN architecture,CC010289,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,rDVb_OgcQP,ICLR.cc/2023/Conference/Paper3134/Reviewer_r7Hj,seg_c85b4a3c2061d4da,full_review,8a1054ea42bb1c65ac35482cb3b1326f111485b30f4cea0d811155ac08de9bef,Reject,6.0,,Clear writing and useful algorithm,Clear writing and effective algorithm,CC002415,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,xzRnzHUVE9,ICLR.cc/2024/Conference/Submission1631/Reviewer_t4AA,seg_85a588c8949c0f40,strength,969dcfa2139585ea0842f35cde1bb217479a3a7b5f3ee577870c85e1bfb33eb7,Reject,5.0,,"Well-executed, clear presentation, effective experiments",Clear presentation and strong experimental results,CC002054,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,daLIpc7vQ2q,ICLR.cc/2021/Conference/Paper2329/AnonReviewer1,seg_c3773ba9f6728c41,full_review,ab53dc0007dc87699034984fbb8c22c07ae4c8837236d0ee401a522df16d8909,Reject,5.0,,Innovative training techniques for energy-based models,Innovative energy-based model training approach,CC011511,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,o966_Is_nPA,ICLR.cc/2021/Conference/Paper555/AnonReviewer1,seg_0d8d36cd4a180485,full_review,98c4f7155bd2a27c0d8751d03afaab1916d510ed252bcea9b73be401f35e962c,Accept (Poster),7.0,,Innovative pruning method with regularization and empirical validation,Innovative pruning method with regularization and empirical validation,CC013313,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,BqEvdOS1Hs,ICLR.cc/2024/Conference/Submission7798/Reviewer_qZtz,seg_f83ee38fb77f189a,weakness,17ffaab97cc769bbe82d59deafdaacdf52d38218e88243c66a8f20484ec63ea6,Accept (poster),6.0,,Unclear technical presentation of algorithm,Unclear algorithm presentation,CC034374,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,HJgExaVtwr,ICLR.cc/2020/Conference/Paper335/AnonReviewer1,seg_173209331bb08ad6,full_review,4dbea537890453103136a8dafb4d2902eb5b00c55d08ab330615395eaee1b065,Accept (Poster),6.0,,State-of-the-art algorithm for noisy label learning,Novel approach to noisy label learning,CC020027,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
