year,paper_id,review_id,segment_id,segment_type,segment_hash,human_open_code,human_theme,raw_open_code,canonical_code,rouge_l_to_human,minilm_cosine_to_human
2020,BJeXaJHKvB,ICLR.cc/2020/Conference/Paper1984/AnonReviewer3,seg_f4e788091eb407ba,full_review,a88d4b5e3fca767a0fec96c3daeecdf09852c835573f1a196446d149d5454ec6,Experiments not convincing,Experiments ,Novel method introduction,Novel method introduction,0.0,0.1730074
2020,BJxSI1SKDH,ICLR.cc/2020/Conference/Paper1727/AnonReviewer2,seg_3194a5f4f86b048c,full_review,164a912746cf66119954f07545a19a579026a4fc779a032bfd886ca42a874e9c,Solving existing problem,Contributions,Innovative modeling of morphology in translation,Innovative modeling of morphology in translation,0.0,-0.029696045
2020,BklSwn4tDH,ICLR.cc/2020/Conference/Paper3/AnonReviewer2,seg_38345b50b572e371,full_review,0e595956a7851b09d31bc326198657b76fce8a6cacce69d11609da67488a23ca,Unclear baselines,Clarity issues,Well-organized empirical study on early stopping,Well-organized empirical study on early stopping,0.0,0.1546933
2020,H1e-X64FDB,ICLR.cc/2020/Conference/Paper439/AnonReviewer4,seg_20e2f3b2852ef68a,full_review,f6ff09a38000e2b60a5084705591b32e939e207081239e84d1d80c222eeaca1b,Lack of clarity,Clarity issues,Practical low-level code optimizations for fast evaluation,Practical low-level code optimizations for fast evaluation,0.0,0.08144796
2020,H1g8p1BYvS,ICLR.cc/2020/Conference/Paper1989/AnonReviewer2,seg_2f90b6a220835b8f,full_review,4b1816ec7c7474030a0383b3c6d644713738f7e6a89aff5da9591a4eb33ccc41,Promising approach,Method,Innovative algorithm addressing spurious bias,Innovative algorithm addressing spurious bias,0.0,0.3673972
2020,HJgzt2VKPB,ICLR.cc/2020/Conference/Paper69/AnonReviewer2,seg_e703445fa6bcf6f7,full_review,b6307c2e7dbb8237766b72c5ba54b490ae253ba413ea55eb5a7f82215b9f63cc,Good evaluation,Evaluation,Introduction of CATER dataset for video understanding,Introduction of CATER dataset for video understanding,0.0,0.16508183
2020,Hyes70EYDB,ICLR.cc/2020/Conference/Paper1051/AnonReviewer2,seg_c28a6689805603ec,full_review,fc8436bdfee64aa4558bcfd5c995cea8423369ccf405cc659b7ac7081d27798e,Good contribution,Contributions,Strong theoretical and empirical contributions,Strong theoretical and empirical contributions,0.2857142857142857,0.38070846
2020,rJe8pxSFwr,ICLR.cc/2020/Conference/Paper2574/AnonReviewer1,seg_0aa3ee5f870ef85f,full_review,9a46d0d654640c561468cd54dfdc9cf4eb834750a49deaaa82297d9a53128c67,Needs writing improvements,Writing quality,End-to-end learning framework for interpolation problems,End-to-end learning framework for interpolation problems,0.0,0.15139809
2020,rJeW1yHYwH,ICLR.cc/2020/Conference/Paper1457/AnonReviewer1,seg_51e2517dc7c2f348,full_review,52bed9443df92c8803d8fa5add54dce07f72e70c0c4891db62d8ccf9c7766144,Less aplicability than needed,Contributions,Innovative use of random Fourier features for dynamic graphs,Innovative use of random Fourier features for dynamic graphs,0.0,0.06863852
2020,rJeXS04FPH,ICLR.cc/2020/Conference/Paper1105/AnonReviewer2,seg_52028193e4dc45bd,full_review,a46bbfac718d26b426d37fa3a8f550a2f44fa7286627d3d4c1483c4ead2085d2,Inconclusive results,Clarity issues,Novel sparse network architecture for word embeddings,Novel sparse network architecture for word embeddings,0.0,-0.020369561
